,track_uri,track_name,artist_uris,album_uri,album_artist_uris,album_artist_names,album_date,album_img_url,disc_number,track_number,Track Duration (ms),track_preview_url,explicit,isrc,artists_id,album_name,artist_name_s,date,duration_ms,song_popularity,added_by,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
354,spotify:track:6UAgnw2w3AVwLg1p7sE7v4,I Follow Rivers - The Magician Remix,"spotify:artist:6oBm8HB0yfrIc9IHbxs6in, spotify:artist:4WUGQykLBGFfsl0Qjl6TDM",spotify:album:2eEnzl61veDi3zQylslIap,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,Lykke Li,2011,https://i.scdn.co/image/ab67616d0000b273e0cc726a6dd3503bb5385d87,1,11,279635,https://p.scdn.co/mp3-preview/e9282201779e4bb9eeeddb82158c7360e4c204e8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,SEVUM1100103,"6oBm8HB0yfrIc9IHbxs6in,4WUGQykLBGFfsl0Qjl6TDM",Wounded Rhymes,"Lykke Li,The Magician",2011-01-01,279635.0,64.0,spotify:user:norarosaas,2021-06-23T21:52:09Z,"electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish pop,belgian edm,house,nu disco",0.785,0.7,9.0,-5.811,0.0,0.0406,0.0182,0.00237,0.0823,0.296,122.032,4.0
355,spotify:track:6UAgnw2w3AVwLg1p7sE7v4,I Follow Rivers - The Magician Remix,"spotify:artist:6oBm8HB0yfrIc9IHbxs6in, spotify:artist:4WUGQykLBGFfsl0Qjl6TDM",spotify:album:2eEnzl61veDi3zQylslIap,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,Lykke Li,2011,https://i.scdn.co/image/ab67616d0000b273e0cc726a6dd3503bb5385d87,1,11,279635,https://p.scdn.co/mp3-preview/e9282201779e4bb9eeeddb82158c7360e4c204e8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,SEVUM1100103,"6oBm8HB0yfrIc9IHbxs6in,4WUGQykLBGFfsl0Qjl6TDM",I Follow Rivers (The Magician Remix),"Lykke Li,The Magician",2011-10-10,280069.0,73.0,spotify:user:norarosaas,2021-10-10T22:45:45Z,"electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish pop,belgian edm,house,nu disco",0.786,0.696,9.0,-5.796,0.0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,4.0
356,spotify:track:2FSGUA0gFgGeQdprjtGM2M,EL MAKINON,"spotify:artist:790FomKkXshlbRYZFtlgla, spotify:artist:0KKUc4amZyvswV2YL6WTar",spotify:album:5CS8E6JVACItYto4OOJoPW,spotify:artist:790FomKkXshlbRYZFtlgla,KAROL G,2021-03-26,https://i.scdn.co/image/ab67616d0000b273ae28c8f2748587cc2a33d6c2,1,2,209160,https://p.scdn.co/mp3-preview/cf58eccc9d1162688756097328b699d0f479f334?cid=9950ac751e34487dbbe027c4fd7f8e99,False,USUM72023904,"790FomKkXshlbRYZFtlgla,0KKUc4amZyvswV2YL6WTar",KG0516,"KAROL G,Mariah Angeliq",2021-03-26,209160.0,76.0,spotify:user:norarosaas,2021-06-23T21:54:34Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,rap latina",0.635,0.706,5.0,-3.224,0.0,0.125,0.256,0.0,0.108,0.443,88.863,4.0
357,spotify:track:456xBIOmLRoLzCvCzZrWge,Safari,"spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:6veh5zbFpm31XsPdjBgPER, spotify:artist:51XrH5fQP2oIQynuKxSWcW",spotify:album:4cGc9Eeb3Gjff2Aq5ILLEf,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2016-06-24,https://i.scdn.co/image/ab67616d0000b273734b36a0655aae40d78d70f4,1,3,205600,https://p.scdn.co/mp3-preview/666f4c1e45fa43e656342a0648f57b3eccee6580?cid=9950ac751e34487dbbe027c4fd7f8e99,False,USUM71604778,"1vyhD5VmyZ7KMfW5gqLgo5,2RdwBSPQiwcmiDo9kixcl8,6veh5zbFpm31XsPdjBgPER,51XrH5fQP2oIQynuKxSWcW",Energía,"J Balvin,Pharrell Williams,BIA,Sky Rompiendo",2016-06-24,205600.0,71.0,spotify:user:norarosaas,2021-06-23T21:54:44Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,dance pop,pop,rap latina,trap queen",0.689,0.675,0.0,-4.281,1.0,0.32,0.531,3.17e-06,0.115,0.604,180.077,4.0
358,spotify:track:0cOa970mzTWAxKtltpkpLc,Miénteme,"spotify:artist:7vXDAI8JwjW531ouMGbfcp, spotify:artist:1DxLCyH42yaHKGK3cl5bvG",spotify:album:4D9XS6o1GNMmuUWhI5Qixg,"spotify:artist:7vXDAI8JwjW531ouMGbfcp, spotify:artist:1DxLCyH42yaHKGK3cl5bvG","TINI, Maria Becerra",2021-04-29,https://i.scdn.co/image/ab67616d0000b273610c6b200ecf596166c50d90,1,1,165275,https://p.scdn.co/mp3-preview/92721db26d41e20443c791ea84ffd3ef607490d3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,USHR12141512,"7vXDAI8JwjW531ouMGbfcp,1DxLCyH42yaHKGK3cl5bvG",Miénteme,"TINI,Maria Becerra",2021-04-29,165275.0,72.0,spotify:user:norarosaas,2021-06-23T21:59:36Z,"latin pop,latin viral pop,pop argentino",0.85,0.541,2.0,-4.522,1.0,0.0674,0.161,5.01e-06,0.286,0.916,92.003,4.0
359,spotify:track:2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq",spotify:album:3RKhRsifs4RWrqvWV1YpPY,"spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin",2012-09-14,https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e,1,1,212862,https://p.scdn.co/mp3-preview/4e2b9b425c14fde73ba0a7c0c4fb31ab6be199ea?cid=9950ac751e34487dbbe027c4fd7f8e99,False,GBAAA1200728,"1h6Cn3P4NGzXbaXidqURXs,2auikkNYqigWStoHWK1Grq",Don't You Worry Child,"Swedish House Mafia,John Martin",2012-09-14,212862.0,81.0,spotify:user:norarosaas,2021-06-25T10:31:46Z,"edm,pop dance,progressive electro house,pop edm",0.612,0.84,11.0,-3.145,0.0,0.0509,0.112,0.0,0.116,0.438,129.042,4.0
360,spotify:track:2WlmR4N8xSxDG3Adz8Wd2k,La Popi,spotify:artist:3NpG6SsHaQETkdQVZH6V1E,spotify:album:1RhIzoLC3C9dyDu4E2X0Sg,spotify:artist:3NpG6SsHaQETkdQVZH6V1E,Kiko el Crazy,2020-04-24,https://i.scdn.co/image/ab67616d0000b2736012cfcff9b3ca9fd6b6e8df,1,1,195616,https://p.scdn.co/mp3-preview/a158d2ccdce78107832eb27f783d9a4314e8e2a6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,QM6MZ2002908,3NpG6SsHaQETkdQVZH6V1E,La Popi,Kiko el Crazy,2020-04-24,195616.0,48.0,spotify:user:norarosaas,2021-06-25T10:32:34Z,dembow dominicano,0.881,0.952,7.0,0.796,1.0,0.0603,0.147,0.000422,0.0632,0.549,114.996,4.0
361,spotify:track:5fghgRsc8a3pSDXtjQ238F,Trakatá,"spotify:artist:5UN0rzL594mWY2RbOtZqIN, spotify:artist:7cYik4OyfBXYV5Z2TI7p90, spotify:artist:0LLnP7NEsEQ1pSCfsuYURr",spotify:album:4v2y8esBwi06vh3jydfUA4,"spotify:artist:5UN0rzL594mWY2RbOtZqIN, spotify:artist:7cYik4OyfBXYV5Z2TI7p90, spotify:artist:0LLnP7NEsEQ1pSCfsuYURr","Ptazeta, Farina, Juacko",2021-03-11,https://i.scdn.co/image/ab67616d0000b273ba8f2979b485b0400c8a68a1,1,1,178064,https://p.scdn.co/mp3-preview/181a1ee3d033581d0bc381d830b9082daedd9149?cid=9950ac751e34487dbbe027c4fd7f8e99,False,ES5022100192,"5UN0rzL594mWY2RbOtZqIN,7cYik4OyfBXYV5Z2TI7p90,0LLnP7NEsEQ1pSCfsuYURr",Trakatá,"Ptazeta,Farina,Juacko",2021-03-11,178064.0,56.0,spotify:user:norarosaas,2021-06-25T10:33:43Z,"rap canario,colombian pop,rap latina,reggaeton colombiano,trap latino,urbano latino",0.906,0.626,5.0,-5.533,1.0,0.254,0.127,6.56e-06,0.0546,0.561,93.03,4.0
362,spotify:track:6jEZLz3YpnEBRpVkv35AmP,Gasolina,spotify:artist:4VMYDCV2IEDYJArk749S6m,spotify:album:5i2HhIrYyMNQvmsBk9h8Im,spotify:artist:4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2004-07-13,https://i.scdn.co/image/ab67616d0000b2737f68406bafad6162f6acdf8a,1,5,192600,https://p.scdn.co/mp3-preview/7c545be6847f3a6b13c4ad9c70d10a34f49a92d3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,QM6N21759342,4VMYDCV2IEDYJArk749S6m,Barrio Fino (Bonus Track Version),Daddy Yankee,2004-07-13,192600.0,0.0,spotify:user:norarosaas,2021-06-27T20:43:19Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.857,0.801,0.0,-6.499,1.0,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,4.0
363,spotify:track:6hf0RpxTbOprT5nnwzkk8e,Qué Más Pues?,"spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:1DxLCyH42yaHKGK3cl5bvG",spotify:album:53ul5SFjVUQCotbJhjCkkK,"spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:1DxLCyH42yaHKGK3cl5bvG","J Balvin, Maria Becerra",2021-05-28,https://i.scdn.co/image/ab67616d0000b27374063b2c20fb50f80388eac2,1,1,217773,https://p.scdn.co/mp3-preview/860e07d93c7128efbbc892601fd9d62a13bdc45f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,QZM5U2100064,"1vyhD5VmyZ7KMfW5gqLgo5,1DxLCyH42yaHKGK3cl5bvG",Qué Más Pues?,"J Balvin,Maria Becerra",2021-05-28,217773.0,68.0,spotify:user:norarosaas,2021-06-27T20:43:37Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,pop argentino",0.891,0.819,8.0,-3.964,1.0,0.106,0.0261,0.000354,0.173,0.768,101.968,4.0
